prov_persona_en_situacion_violencia,edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_con_la_persona_agresora
4,57.0,1,1,0,0,0,1,0
0,25.0,0,0,0,1,1,1,0
0,29.0,1,1,0,1,1,1,0
0,33.0,1,1,1,1,1,1,0
0,16.0,1,1,0,0,1,1,0
0,28.0,0,0,0,0,0,0,0
0,28.0,1,1,0,0,1,1,0
0,40.0,1,1,0,1,1,1,0
0,19.0,1,1,0,0,1,1,5
0,19.0,0,0,0,1,1,1,0
0,38.0,1,1,0,1,1,1,5
0,60.0,0,0,0,1,1,1,0
0,23.0,1,1,1,0,1,1,5
0,38.0,1,1,0,1,1,1,0
0,21.0,0,0,1,0,0,0,2
0,44.0,1,1,1,1,1,1,0
0,44.0,1,1,0,1,1,1,5
0,40.0,0,0,0,0,1,1,5
0,20.0,1,1,0,1,1,1,5
0,58.0,0,0,0,1,1,1,0
0,17.0,1,1,0,0,0,1,0
15,48.0,1,1,0,1,0,1,5
16,32.0,1,1,0,1,0,1,0
12,37.0,1,1,0,1,0,1,0
18,25.0,1,1,0,1,1,1,5
0,24.0,1,1,0,1,1,1,5
23,28.0,1,1,1,1,1,1,5
6,32.0,0,0,0,0,0,1,5
0,28.0,1,1,0,0,0,1,0
0,34.0,1,1,0,1,0,1,0
12,29.0,0,0,0,1,0,1,0
0,23.0,0,0,0,0,0,1,0
12,44.0,1,1,0,1,1,1,0
0,30.0,1,1,0,0,0,1,0
12,25.0,1,1,0,1,0,1,5
0,26.0,1,1,0,0,0,1,5
2,32.0,1,1,0,1,0,1,0
0,44.0,1,1,0,1,0,1,0
0,41.0,1,1,0,0,0,1,0
20,33.0,0,0,0,0,0,1,0
0,21.0,1,1,0,1,0,1,0
4,27.0,0,0,0,0,0,1,5
4,35.0,1,1,0,0,0,0,2
4,38.0,0,0,0,1,1,1,5
0,48.0,0,0,1,0,0,0,2
0,48.0,0,0,0,0,1,1,5
4,49.0,0,0,1,1,0,0,2
4,53.0,1,1,0,1,0,1,5
4,53.0,0,0,0,1,0,1,0
0,35.0,1,1,0,0,1,1,0
0,30.0,0,0,0,0,1,1,5
0,59.0,1,1,0,0,1,1,0
0,42.0,0,0,1,0,1,0,6
0,41.0,1,1,0,0,1,1,0
0,36.0,0,0,1,0,0,1,3
0,33.0,0,0,0,0,1,0,2
0,37.0,1,1,0,0,1,1,0
0,43.0,1,1,0,1,1,1,4
0,26.0,0,0,0,0,1,1,0
0,26.0,1,1,0,0,1,1,5
0,50.0,1,1,1,0,0,1,3
0,26.0,1,1,0,0,1,1,5
0,42.0,1,1,0,0,1,1,0
0,25.0,1,1,1,1,1,0,2
0,20.0,1,1,0,0,1,1,0
0,31.0,1,1,0,0,0,1,5
0,23.0,0,0,0,0,1,1,0
0,27.0,1,1,0,0,1,1,0
0,39.0,0,0,0,1,1,1,0
0,59.0,0,0,0,0,1,1,0
12,22.0,1,1,0,0,0,1,0
20,33.0,0,0,0,1,0,1,0
9,56.0,1,1,0,1,0,1,0
9,30.0,1,1,0,0,0,1,5
13,20.0,1,1,1,0,0,1,5
0,19.0,1,1,0,0,1,1,0
0,50.0,0,0,0,0,0,1,0
2,40.0,1,1,0,1,0,1,0
20,55.0,0,0,0,1,1,1,0
12,58.0,1,1,0,0,0,1,0
18,13.0,1,1,1,0,0,1,2
20,35.0,1,1,0,1,0,1,0
0,10.0,0,0,1,0,0,0,2
4,16.0,0,0,1,0,1,0,2
4,20.0,1,1,0,0,0,1,0
0,24.0,1,1,0,0,0,1,5
0,37.0,1,1,0,0,0,1,0
4,40.0,1,1,0,1,0,0,2
4,44.0,0,0,0,1,0,1,0
4,48.0,0,0,0,0,0,1,2
4,60.0,1,1,0,0,0,1,0
0,19.0,1,1,0,0,1,1,5
0,26.0,1,1,0,1,1,1,5
0,24.0,0,0,0,0,1,1,0
0,46.0,1,1,0,0,1,1,5
0,36.0,1,1,1,0,1,1,0
0,31.0,1,1,1,0,1,1,5
0,33.0,0,0,0,0,1,1,0
0,27.0,0,0,0,0,1,1,0
0,53.0,1,1,0,0,0,1,0
0,36.0,1,1,0,1,1,1,5
0,18.0,1,1,0,0,1,1,0
0,17.0,1,1,0,0,1,1,0
17,46.0,1,1,0,1,0,1,5
0,42.0,1,1,0,0,0,1,5
17,28.0,1,1,0,1,0,1,0
0,27.0,1,1,0,1,0,1,0
0,19.0,1,1,0,0,1,1,5
6,25.0,1,1,1,0,0,1,4
0,40.0,1,1,0,0,0,1,0
2,19.0,1,1,1,0,1,0,2
21,28.0,1,1,0,0,0,1,5
0,41.0,1,1,0,1,1,1,0
0,21.0,0,0,0,0,0,1,5
7,47.0,0,0,0,1,0,1,0
20,42.0,1,1,0,0,0,1,0
16,23.0,1,1,0,0,0,1,0
17,25.0,0,0,0,0,0,1,0
15,27.0,0,0,0,0,0,1,5
4,22.0,0,0,0,0,1,1,0
4,26.0,0,0,0,0,0,1,0
4,26.0,0,0,0,0,0,1,0
4,30.0,1,1,0,0,1,1,0
4,30.0,1,1,0,1,0,1,0
4,35.0,1,1,0,0,0,1,0
4,44.0,1,1,0,0,0,1,0
0,40.0,1,1,0,0,1,1,0
0,34.0,1,1,0,0,1,1,0
0,29.0,1,1,0,1,1,1,0
0,49.0,1,1,0,0,1,1,3
0,23.0,1,1,0,1,1,1,0
0,31.0,1,1,0,0,1,1,0
0,37.0,0,0,0,0,1,1,5
0,36.0,1,1,1,0,0,1,5
0,51.0,0,0,0,0,1,1,0
0,26.0,1,1,0,0,1,1,0
0,43.0,1,1,1,1,1,1,0
0,64.0,0,0,0,0,1,1,3
0,55.0,1,1,1,1,0,1,5
0,22.0,1,1,0,1,1,1,0
0,45.0,1,1,0,0,1,1,0
0,32.0,1,1,1,0,1,1,0
13,19.0,1,1,0,1,0,1,5
5,23.0,0,0,0,1,0,1,5
0,47.0,1,1,0,1,0,1,5
